scenario_id,ai_proportion,transparency,trust_mean,trust_std,trust_min,trust_max,system_performance_mean,system_performance_std,system_performance_min,system_performance_max,voter_satisfaction_mean,voter_satisfaction_std,voter_satisfaction_min,voter_satisfaction_max,latent_inconsistency_mean,latent_inconsistency_std,latent_inconsistency_min,latent_inconsistency_max,discovered_inconsistency_mean,discovered_inconsistency_std,discovered_inconsistency_min,discovered_inconsistency_max,pass_rate_mean,pass_rate_std,pass_rate_min,pass_rate_max,representativity_mean,representativity_std,representativity_min,representativity_max,n_replicates
0,0.0,0.0,0.8173915544992424,0.016649510073758696,0.7932676003830218,0.845152864995802,0.6802533125449803,0.04961274886990076,0.5571341496356907,0.7459535204716516,0.5836378996031615,0.035367931941246517,0.52020459357689,0.6478072286624851,0.3336041521078434,0.057431000230746196,0.22729724309299743,0.4047372282611783,0.0,0.0,0.0,0.0,0.33599999999999997,0.11305849027040041,0.06,0.48,0.4689240686682319,0.05642650299387997,0.3987742102638967,0.5790752506114081,10
1,0.2,0.0,0.8232253135506831,0.0183159233455644,0.7916852816968043,0.8416155861138923,0.6904188175095751,0.0781244189174107,0.5762228521179826,0.8116146198933629,0.5840131002237402,0.024236212492667577,0.5417181831229921,0.6147695500428659,0.31167510314814295,0.08376478037479376,0.17272723052890596,0.4641100707662099,0.0,0.0,0.0,0.0,0.36,0.1776388345929897,0.1,0.64,0.4640266520151795,0.0762218639763334,0.3843886672897615,0.57086024172208,10
2,0.2,1.0,0.8352204040845452,0.014248522820211062,0.8111707402020387,0.8533094293442235,0.7115404054954745,0.04513569533463003,0.6474357032152627,0.7742216607591439,0.5692547811590364,0.0563727599670733,0.4436416030039594,0.6370408884924391,0.256956139558217,0.04943710886345689,0.17014299230687602,0.3442523598479995,2.500874999601782,0.4774660666524792,1.701429923068761,3.3410021956331577,0.402,0.11013123484683576,0.24,0.56,0.42470704887661326,0.05338207065811493,0.3565023024353998,0.5616462909091972,10
3,0.3,0.0,0.8217545798916402,0.010320701907625542,0.8056603803966792,0.8386136987040281,0.6763110038981155,0.04467266440207019,0.6142406464825072,0.7579252518512847,0.5808390254407575,0.025863418263867625,0.539211663993863,0.626180794632459,0.32024964987298976,0.0470849173145998,0.2576378490063455,0.4217490516867104,0.0,0.0,0.0,0.0,0.322,0.10768266135063509,0.18,0.52,0.4545680404337439,0.035344661348028536,0.4007250258877882,0.5002106745231485,10
4,0.3,1.0,0.810598442367642,0.016863731910738325,0.7859183485441052,0.8364776598260791,0.6958386058914412,0.05804731394048891,0.6243628451252681,0.7903550871920859,0.5508920403152319,0.06283183252618992,0.43307482541192877,0.6278598706184753,0.34097312453901985,0.06796177504609555,0.2497208285875695,0.46554627619638644,3.4097312453901987,0.6796177504609555,2.497208285875694,4.655462761963864,0.374,0.14268847185389577,0.18,0.6,0.46558733040879013,0.04410910002927465,0.4125498628553156,0.5472345238451408,10
5,0.3,1.0,0.8219806795152808,0.016187463516395655,0.7930672099725081,0.8467567880643687,0.6914165409955239,0.042277328526617315,0.6344950089481163,0.7551865459010911,0.5773621457585902,0.04218057212831256,0.5324724973485402,0.6597828533503529,0.30436582945664564,0.0469847873955531,0.2297594114555483,0.36971962149547055,2.940502614174064,0.4181967046627272,2.2975941145554843,3.6971962149547064,0.356,0.0992415683516181,0.22,0.5,0.4396116063514004,0.04660167887605181,0.38809589680983053,0.5472441674180657,10
6,0.5,1.0,0.832423736194803,0.015590744183515916,0.8116138582760617,0.8618241024797975,0.7319884145232475,0.07087601717718027,0.5986406725643825,0.8061198425477949,0.5581205547250021,0.0216301581395429,0.5284328909838052,0.5911148514255072,0.25894855474228556,0.043216045749507215,0.17244409047022838,0.3256710730322412,2.4573329319929336,0.3954497688911957,1.6241898563410295,3.010592182223608,0.458,0.1690364852134986,0.14,0.64,0.4398467375378582,0.051175219341128265,0.37978418598080516,0.5421144665079214,10
